B.E.(eV)	Raw	Intensity	1	Sum	Background	Peak
777.88	-404.169999999998	61506.79	60144.07	1307.73	54.9800000000032	-1766.887
777.78	-102.580000000002	61451.68	60144.08	1253.17	54.4300000000003	-1410.18
777.68	275.910000000004	61399.85	60144.09	1201.87	53.8900000000067	-979.8516
777.58	651.900000000002	61351.1	60144.1	1153.65	53.3499999999986	-555.0977
777.48	-428.010000000002	61305.13	60144.11	1108.19	52.8199999999997	-1589.027
777.38	-67.5200000000041	61261.79	60144.12	1065.37	52.3099999999977	-1185.191
777.28	-189.129999999997	61220.86	60144.13	1024.94	51.8000000000029	-1265.863
777.18	-578.540000000001	61182.14	60144.14	986.720000000001	51.2900000000009	-1616.543
777.08	452.75	61145.53	60144.15	950.580000000002	50.7900000000009	-548.6289
776.98	-652.860000000001	61110.82	60144.16	916.359999999994	50.2999999999956	-1619.52
776.88	-572.960000000007	61077.94	60144.16	883.949999999997	49.8299999999945	-1506.738
776.78	-160.470000000001	61046.72	60144.17	853.209999999999	49.3499999999986	-1063.023
776.68	-59.9700000000012	61017.06	60144.17	824.010000000002	48.8800000000047	-932.8594
776.58	635.120000000003	60988.88	60144.18	796.279999999999	48.4099999999962	-209.5742
776.48	389.620000000003	60962.04	60144.18	769.900000000002	47.9599999999991	-428.2422
776.38	-456.89	60936.52	60144.19	744.809999999998	47.5099999999948	-1249.215
776.28	-1216	60912.19	60144.2	720.920000000006	47.0699999999997	-1983.988
776.18	-408.199999999997	60888.96	60144.2	698.130000000005	46.6300000000047	-1152.965
776.08	0	60866.82	60144.2	676.410000000004	46.2000000000044	-722.6172
