	CuBa-Cu-air		CuBa-Cu-400mA		Cu foil
9189.4274	1.29047334	9189.4274	1.3007669	9391.294	1.3056742
9192.2556	1.29084648	9192.2556	1.29991004	9396.0536	1.3070082
9195.1028	1.29323794	9195.1028	1.29960181	9400.8605	1.3076125
9197.9689	1.29298145	9197.9689	1.29850025	9405.6724	1.3068631
9200.8541	1.29274032	9200.8541	1.3007914	9410.5319	1.3046167
9203.7583	1.29403818	9203.7583	1.3075815	9415.4177	1.3013067
9206.6815	1.29468577	9206.6815	1.3177457	9420.3087	1.29798795
9209.6237	1.29741356	9209.6237	1.3238234	9425.2476	1.29635357
9212.585	1.29846522	9212.585	1.3259103	9430.213	1.29623287
9215.5652	1.29924351	9215.5652	1.3252936	9435.2051	1.29671989
9218.5645	1.29851495	9218.5645	1.3248939	9440.2241	1.29690312
9221.5827	1.29925871	9221.5827	1.3203253	9445.2699	1.29630507
9224.62	1.29957759	9224.62	1.3138236	9450.3426	1.29510583
9227.6763	1.29990476	9227.6763	1.3062736	9455.4423	1.29339086
9230.7516	1.29852657	9230.7516	1.29760663	9460.5692	1.29267111
9233.8459	1.29794555	9233.8459	1.29233575	9465.7232	1.29295194
9236.9592	1.29754213	9236.9592	1.2847383	9470.9044	1.29281541
9240.0916	1.29847943	9240.0916	1.28282505	9476.113	1.29303255
9243.2429	1.29943451	9243.2429	1.28579	9481.3491	1.29388138
9246.4133	1.29814888	9246.4133	1.28733305	9486.6126	1.29526684
9249.6027	1.29895688	9249.6027	1.28725864	9491.9037	1.29721209
9252.811	1.29988263	9252.811	1.28667616	9497.2225	1.29914442
9256.0384	1.3007237	9256.0384	1.28770969	9502.5691	1.3010885
9259.2848	1.3012594	9259.2848	1.29116301	9507.9435	1.3028051
9262.5502	1.3007549	9262.5502	1.29288436	9513.3241	1.3037569
9265.8347	1.3009254	9265.8347	1.29580699	9518.7544	1.303608
9269.1381	1.3004371	9269.1381	1.29744079	9524.2128	1.3024042
9272.4606	1.2999639	9272.4606	1.3012971	9529.6994	1.3005524
9275.802	1.3009192	9275.802	1.3045628	9535.2143	1.29922225
9279.1625	1.3002996	9279.1625	1.3045559	9540.7576	1.29860314
9282.542	1.29900718	9282.542	1.3063681	9546.3074	1.2983145
9285.9405	1.29670377	9285.9405	1.3059455	9551.9077	1.29809753
9289.358	1.2969238	9289.358	1.3058689	9557.5365	1.29824199
9292.7945	1.29675438	9292.7945	1.3065127	9563.1722	1.29826668
9296.25	1.29624884	9296.25	1.3081519	9568.8586	1.29800141
9299.7246	1.29538682	9299.7246	1.3085288	9574.5519	1.29772568
9303.2181	1.29322711	9303.2181	1.3063872	9580.2742	1.2973633
9306.7307	1.29274629	9306.7307	1.3043547	9586.0475	1.29665506
9310.2622	1.29088385	9310.2622	1.301425	9591.828	1.2965558
9313.8128	1.28934308	9313.8128	1.29911341	9597.6377	1.29686326
9317.3824	1.29050723	9317.3824	1.29486026	9603.4767	1.29750687
9320.971	1.28931846	9320.971	1.29283511	9609.3452	1.29817705
9324.5787	1.28914878	9324.5787	1.29095063	9615.2432	1.29880835
9328.2053	1.29021599	9328.2053	1.29045716	9621.1708	1.29959435
9331.8509	1.29019241	9331.8509	1.29085725	9627.1059	1.3004005
9335.5156	1.28977931	9335.5156	1.28944239	9633.093	1.3009817
